Id,LotFrontage,LotArea,LandContour,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearRemodAdd,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,LowQualFinSF,GrLivArea,KitchenQual,TotRmsAbvGrd,GarageType,GarageFinish,GarageCars,PavedDrive,houseAge_fg,totBaths_fg,totFlrSF_fg,totLot_fg,garageAge_fg,SalePrice
17,68.0,11241,Lvl,NAmes,Norm,Norm,1Story,6,7,1970,TA,ALQ,578.0,0.0,426.0,1004.0,Y,0,1004,TA,5,Attchd,Fin,2.0,Y,40,2.0,1004,11309.0,40.0,149000
18,72.0,10791,Lvl,Sawyer,Norm,Norm,1Story,4,5,1967,TA,Unf,0.0,0.0,0.0,0.0,Y,0,1296,TA,6,CarPort,Unf,2.0,Y,39,2.0,1296,10863.0,39.0,90000
19,66.0,13695,Lvl,SawyerW,RRAe,Norm,1Story,5,5,2004,TA,GLQ,646.0,0.0,468.0,1114.0,Y,0,1114,Gd,6,Detchd,Unf,2.0,Y,4,2.5,1114,13761.0,4.0,159000
20,70.0,7560,Lvl,NAmes,Norm,Norm,1Story,5,6,1965,TA,LwQ,504.0,0.0,525.0,1029.0,Y,0,1339,TA,6,Attchd,Unf,1.0,Y,51,1.0,1339,7630.0,51.0,139000
21,101.0,14215,Lvl,NridgHt,Norm,Norm,2Story,8,5,2006,Ex,Unf,0.0,0.0,1158.0,1158.0,Y,0,2376,Gd,9,BuiltIn,RFn,3.0,Y,1,3.5,2376,14316.0,1.0,325300
22,57.0,7449,Bnk,IDOTRR,Norm,Norm,1.5Unf,7,7,1950,TA,Unf,0.0,0.0,637.0,637.0,Y,0,1108,Gd,6,Attchd,Unf,1.0,N,77,1.0,1108,7506.0,77.0,139400
23,75.0,9742,Lvl,CollgCr,Norm,Norm,1Story,8,5,2002,Gd,Unf,0.0,0.0,1777.0,1777.0,Y,0,1795,Gd,7,Attchd,RFn,2.0,Y,6,2.0,1795,9817.0,6.0,230000
24,44.0,4224,Lvl,MeadowV,Norm,Norm,1Story,5,7,1976,Gd,GLQ,840.0,0.0,200.0,1040.0,Y,0,1060,TA,6,Attchd,Unf,2.0,Y,31,2.0,1060,4268.0,31.0,129900
25,68.0,8246,Lvl,Sawyer,Norm,Norm,1Story,5,8,2001,TA,Rec,188.0,668.0,204.0,1060.0,Y,0,1060,Gd,6,Attchd,Unf,1.0,Y,42,2.0,1060,8314.0,42.0,154000
26,110.0,14230,Lvl,NridgHt,Norm,Norm,1Story,8,5,2007,Gd,Unf,0.0,0.0,1566.0,1566.0,Y,0,1600,Gd,7,Attchd,RFn,3.0,Y,2,2.0,1600,14340.0,2.0,256300
27,60.0,7200,Lvl,NAmes,Norm,Norm,1Story,5,7,2000,TA,BLQ,234.0,486.0,180.0,900.0,Y,0,900,Gd,5,Detchd,Unf,2.0,Y,59,1.5,900,7260.0,5.0,134800
28,98.0,11478,Lvl,NridgHt,Norm,Norm,1Story,8,5,2008,Ex,GLQ,1218.0,0.0,486.0,1704.0,Y,0,1704,Gd,7,Attchd,RFn,3.0,Y,3,3.0,1704,11576.0,2.0,306000
29,47.0,16321,Lvl,NAmes,Norm,Norm,1Story,5,6,1997,TA,BLQ,1277.0,0.0,207.0,1484.0,Y,0,1600,TA,6,Attchd,RFn,1.0,Y,49,2.0,1600,16368.0,49.0,207500
30,60.0,6324,Lvl,BrkSide,Feedr,RRNn,1Story,4,6,1950,TA,Unf,0.0,0.0,520.0,520.0,N,0,520,Fa,4,Detchd,Unf,1.0,Y,81,1.0,520,6384.0,88.0,68500
31,50.0,8500,Lvl,IDOTRR,Feedr,Norm,2Story,4,4,1950,TA,Unf,0.0,0.0,649.0,649.0,N,0,1317,TA,6,Detchd,Unf,1.0,N,88,1.0,1317,8550.0,88.0,40000
32,68.0,8544,Lvl,Sawyer,Norm,Norm,1Story,5,6,2006,TA,Unf,0.0,0.0,1228.0,1228.0,Y,0,1228,Gd,6,Attchd,Unf,1.0,Y,42,1.5,1228,8612.0,42.0,149350
33,85.0,11049,Lvl,CollgCr,Norm,Norm,1Story,8,5,2007,Ex,Unf,0.0,0.0,1234.0,1234.0,Y,0,1234,Gd,7,Attchd,RFn,2.0,Y,1,2.0,1234,11134.0,1.0,179900
34,70.0,10552,Lvl,NAmes,Norm,Norm,1Story,5,5,1959,TA,Rec,1018.0,0.0,380.0,1398.0,Y,0,1700,Gd,6,Attchd,RFn,2.0,Y,51,2.0,1700,10622.0,51.0,165500
35,60.0,7313,Lvl,NridgHt,Norm,Norm,1Story,9,5,2005,Ex,GLQ,1153.0,0.0,408.0,1561.0,Y,0,1561,Ex,6,Attchd,Fin,2.0,Y,2,3.0,1561,7373.0,2.0,277500
36,108.0,13418,Lvl,NridgHt,Norm,Norm,2Story,8,5,2005,Ex,Unf,0.0,0.0,1117.0,1117.0,Y,0,2452,Gd,9,BuiltIn,Fin,3.0,Y,2,3.5,2452,13526.0,2.0,309000
37,112.0,10859,Lvl,CollgCr,Norm,Norm,1Story,5,5,1995,Gd,Unf,0.0,0.0,1097.0,1097.0,Y,0,1097,TA,6,Attchd,Unf,2.0,Y,15,1.5,1097,10971.0,14.0,145000
38,74.0,8532,Lvl,NAmes,Norm,Norm,1Story,5,6,1990,TA,Rec,1213.0,0.0,84.0,1297.0,Y,0,1297,TA,5,Attchd,Fin,2.0,Y,55,1.5,1297,8606.0,55.0,153000
39,68.0,7922,Lvl,NAmes,Norm,Norm,1Story,5,7,2007,TA,GLQ,731.0,0.0,326.0,1057.0,Y,0,1057,Gd,5,Detchd,Unf,1.0,Y,57,2.0,1057,7990.0,57.0,109000
40,65.0,6040,Lvl,Edwards,Norm,Norm,1Story,4,5,1955,TA,Unf,0.0,0.0,0.0,0.0,N,0,1152,Fa,6,Attchd,Unf,0.0,N,53,2.0,1152,6105.0,29.0,82000
41,84.0,8658,Lvl,NAmes,Norm,Norm,1Story,6,5,1965,TA,Rec,643.0,0.0,445.0,1088.0,Y,0,1324,TA,6,Attchd,RFn,2.0,Y,41,2.0,1324,8742.0,41.0,160000
42,115.0,16905,Lvl,Timber,Norm,Norm,1Story,5,6,1959,TA,BLQ,967.0,0.0,383.0,1350.0,Y,0,1328,TA,5,Attchd,RFn,1.0,P,48,2.0,1328,17020.0,48.0,170000
43,68.0,9180,Lvl,SawyerW,Norm,Norm,SFoyer,5,7,1983,Gd,ALQ,747.0,93.0,0.0,840.0,Y,0,884,Gd,5,Attchd,RFn,2.0,Y,24,2.0,884,9248.0,24.0,144000
44,68.0,9200,Lvl,CollgCr,Norm,Norm,1Story,5,6,1980,Gd,LwQ,280.0,491.0,167.0,938.0,Y,0,938,TA,5,Detchd,Unf,1.0,Y,33,2.0,938,9268.0,31.0,130250
45,70.0,7945,Lvl,NAmes,Norm,Norm,1Story,5,6,1959,TA,ALQ,179.0,506.0,465.0,1150.0,Y,0,1150,TA,6,Attchd,RFn,1.0,Y,47,2.0,1150,8015.0,47.0,141000
46,61.0,7658,Lvl,NridgHt,Norm,Norm,1Story,9,5,2005,Ex,GLQ,456.0,0.0,1296.0,1752.0,Y,0,1752,Ex,6,Attchd,RFn,2.0,Y,5,3.0,1752,7719.0,5.0,319900
47,48.0,12822,Lvl,Mitchel,Norm,Norm,1.5Fin,7,5,2003,Ex,GLQ,1351.0,0.0,83.0,1434.0,Y,0,2149,Gd,6,Attchd,RFn,2.0,Y,6,2.5,2149,12870.0,6.0,239686
48,84.0,11096,Lvl,Somerst,Norm,Norm,1Story,8,5,2006,Gd,GLQ,24.0,0.0,1632.0,1656.0,Y,0,1656,Gd,7,Attchd,RFn,3.0,Y,1,2.0,1656,11180.0,1.0,249700
49,33.0,4456,Lvl,OldTown,Norm,Norm,2Story,4,5,2008,TA,Unf,0.0,0.0,736.0,736.0,Y,0,1452,TA,8,Attchd,Unf,0.0,N,89,2.0,1452,4489.0,30.0,113000
50,66.0,7742,Lvl,Sawyer,Norm,Norm,1Story,5,7,1966,TA,BLQ,763.0,0.0,192.0,955.0,Y,0,955,TA,6,Attchd,Unf,1.0,Y,41,2.0,955,7808.0,41.0,127000
51,68.0,13869,Lvl,Gilbert,Norm,Norm,2Story,6,6,1997,Gd,GLQ,182.0,0.0,612.0,794.0,Y,0,1470,TA,6,Attchd,Fin,2.0,Y,10,2.5,1470,13937.0,10.0,177000
52,52.0,6240,Lvl,BrkSide,Norm,Norm,1.5Fin,6,6,1950,TA,Unf,0.0,0.0,816.0,816.0,Y,360,1176,TA,6,Detchd,Unf,2.0,Y,72,1.0,816,6292.0,21.0,114500
53,110.0,8472,Bnk,IDOTRR,RRNn,Norm,1Story,5,5,1963,Gd,LwQ,104.0,712.0,0.0,816.0,N,0,816,TA,5,CarPort,Unf,2.0,Y,47,2.0,816,8582.0,47.0,110000
54,68.0,50271,Low,Veenker,Norm,Norm,1Story,9,5,1987,Ex,GLQ,1810.0,0.0,32.0,1842.0,Y,0,1842,Gd,5,Attchd,Fin,3.0,Y,25,2.5,1842,50339.0,25.0,385000
55,60.0,7134,Bnk,NAmes,Norm,Norm,SLvl,5,5,1955,TA,ALQ,384.0,0.0,0.0,384.0,Y,0,1360,TA,6,Detchd,Unf,2.0,Y,52,1.0,1360,7194.0,45.0,130000
56,100.0,10175,Lvl,NAmes,Norm,Norm,1Story,6,5,1964,TA,BLQ,490.0,0.0,935.0,1425.0,Y,0,1425,TA,7,Attchd,RFn,2.0,Y,44,2.0,1425,10275.0,44.0,180500
57,24.0,2645,Lvl,Somerst,Norm,Norm,2Story,8,5,2000,Gd,GLQ,649.0,0.0,321.0,970.0,Y,0,1739,Gd,7,Attchd,Fin,2.0,Y,10,3.5,1739,2669.0,10.0,172500
58,89.0,11645,Lvl,CollgCr,Norm,Norm,2Story,7,5,2004,Gd,Unf,0.0,0.0,860.0,860.0,Y,0,1720,Gd,7,Attchd,RFn,2.0,Y,2,2.5,1720,11734.0,2.0,196500
59,66.0,13682,HLS,StoneBr,Norm,Norm,2Story,10,5,2006,Ex,Unf,0.0,0.0,1410.0,1410.0,Y,0,2945,Gd,10,BuiltIn,Fin,3.0,Y,0,3.5,2945,13748.0,0.0,438780
60,60.0,7200,Bnk,CollgCr,Norm,Norm,1Story,5,7,1972,TA,ALQ,632.0,0.0,148.0,780.0,Y,0,780,TA,4,Detchd,Unf,1.0,Y,36,1.0,780,7260.0,35.0,124900
61,63.0,13072,Lvl,SawyerW,RRAe,Norm,1Story,6,5,2004,Gd,ALQ,941.0,0.0,217.0,1158.0,Y,0,1158,Gd,5,Detchd,Unf,2.0,Y,2,2.5,1158,13135.0,0.0,158000
62,60.0,7200,Lvl,IDOTRR,Norm,Norm,2.5Unf,5,7,1996,TA,Unf,0.0,0.0,530.0,530.0,N,0,1111,Fa,6,Detchd,Unf,1.0,N,87,1.0,1111,7260.0,72.0,101000
63,44.0,6442,Lvl,NridgHt,Norm,Norm,1Story,8,5,2006,Gd,GLQ,24.0,0.0,1346.0,1370.0,Y,0,1370,Gd,6,Attchd,RFn,2.0,Y,1,2.0,1370,6486.0,1.0,202500
64,50.0,10300,Bnk,OldTown,RRAn,Feedr,2Story,7,6,1950,TA,Unf,0.0,0.0,576.0,576.0,Y,0,1710,TA,9,Detchd,Unf,2.0,Y,89,2.0,1710,10350.0,20.0,140000
65,68.0,9375,Lvl,CollgCr,Norm,Norm,2Story,7,5,1998,Gd,GLQ,739.0,0.0,318.0,1057.0,Y,0,2034,Gd,8,Attchd,RFn,2.0,Y,12,3.5,2034,9443.0,11.0,219500
66,76.0,9591,Lvl,NridgHt,Norm,Norm,2Story,8,5,2005,Ex,Unf,0.0,0.0,1143.0,1143.0,Y,0,2473,Gd,9,BuiltIn,RFn,3.0,Y,3,2.5,2473,9667.0,3.0,317000
67,68.0,19900,Lvl,NAmes,PosA,Norm,1Story,7,5,1989,Gd,GLQ,912.0,0.0,1035.0,1947.0,Y,0,2207,TA,7,Attchd,RFn,2.0,Y,40,3.0,2207,19968.0,40.0,180000
68,72.0,10665,Lvl,CollgCr,Norm,Norm,1Story,7,5,2003,Gd,GLQ,1013.0,0.0,440.0,1453.0,Y,0,1479,Gd,7,Attchd,RFn,2.0,Y,4,3.0,1479,10737.0,4.0,226000
69,47.0,4608,Lvl,OldTown,Artery,Norm,1Story,4,6,1950,TA,Unf,0.0,0.0,747.0,747.0,Y,0,747,TA,4,Attchd,Unf,1.0,Y,65,1.0,747,4655.0,65.0,80000
70,81.0,15593,Lvl,ClearCr,Norm,Norm,1.5Fin,7,4,1953,TA,BLQ,603.0,0.0,701.0,1304.0,Y,0,2287,TA,7,Attchd,Fin,2.0,Y,53,2.0,2287,15674.0,53.0,225000
71,95.0,13651,Lvl,NAmes,Norm,Norm,1Story,7,6,1973,Gd,ALQ,1880.0,0.0,343.0,2223.0,Y,0,2223,TA,8,Attchd,Fin,2.0,Y,34,3.0,2223,13746.0,34.0,244000
72,69.0,7599,Lvl,Mitchel,Norm,Norm,1Story,4,6,2006,TA,ALQ,565.0,0.0,280.0,845.0,Y,0,845,TA,4,Detchd,Unf,2.0,Y,25,2.0,845,7668.0,20.0,129500
73,74.0,10141,Lvl,Gilbert,Norm,Norm,2Story,7,5,1998,Gd,Unf,0.0,0.0,832.0,832.0,Y,0,1718,TA,7,Attchd,Fin,2.0,Y,11,2.5,1718,10215.0,11.0,185000
74,85.0,10200,Lvl,NAmes,Norm,Norm,1Story,5,7,2003,TA,ALQ,320.0,362.0,404.0,1086.0,Y,0,1086,TA,6,Attchd,Unf,2.0,Y,56,2.0,1086,10285.0,21.0,144900
75,60.0,5790,Lvl,OldTown,Norm,Norm,2Story,3,6,1950,Fa,Unf,0.0,0.0,840.0,840.0,N,0,1605,TA,8,Detchd,Unf,1.0,Y,95,2.0,1605,5850.0,95.0,107400
76,21.0,1596,Lvl,MeadowV,Norm,Norm,SLvl,4,5,1973,Gd,GLQ,462.0,0.0,0.0,462.0,Y,0,988,TA,5,BuiltIn,Unf,1.0,Y,36,2.0,988,1617.0,36.0,91000
77,68.0,8475,Lvl,NAmes,Norm,Norm,1Story,4,7,1956,TA,ALQ,228.0,0.0,724.0,952.0,Y,0,952,TA,4,Detchd,Unf,1.0,Y,52,1.0,952,8543.0,52.0,135750
78,50.0,8635,Lvl,BrkSide,Norm,Norm,1.5Fin,5,5,2001,TA,BLQ,336.0,41.0,295.0,672.0,Y,0,1285,TA,6,Detchd,Unf,1.0,Y,60,2.0,1285,8685.0,60.0,127000
79,72.0,10778,Lvl,Sawyer,Norm,Norm,1Story,4,5,1968,TA,Unf,0.0,0.0,1768.0,1768.0,N,0,1768,TA,8,Attchd,Unf,0.0,Y,42,2.0,1768,10850.0,31.0,136500
80,60.0,10440,Lvl,OldTown,Norm,Norm,2Story,5,6,1981,TA,Unf,0.0,0.0,440.0,440.0,Y,0,1230,TA,5,Detchd,Unf,2.0,Y,99,1.5,1230,10500.0,43.0,110000
81,100.0,13000,Lvl,NAmes,Norm,Norm,2Story,6,6,1968,Gd,Rec,448.0,0.0,448.0,896.0,Y,0,2142,Gd,8,Attchd,Fin,1.0,Y,41,2.5,2142,13100.0,41.0,193500
82,32.0,4500,Lvl,Mitchel,Norm,Norm,1Story,6,5,1998,Ex,GLQ,1201.0,0.0,36.0,1237.0,Y,0,1337,TA,5,Attchd,Fin,2.0,Y,8,3.0,1337,4532.0,8.0,153500
83,78.0,10206,Lvl,Somerst,Norm,Norm,1Story,8,5,2007,Gd,GLQ,33.0,0.0,1530.0,1563.0,Y,0,1563,Gd,6,Attchd,RFn,3.0,Y,1,2.0,1563,10284.0,1.0,245000
84,80.0,8892,Lvl,NAmes,Norm,Norm,1Story,5,5,1960,TA,Unf,0.0,0.0,1065.0,1065.0,Y,0,1065,TA,6,Detchd,Unf,2.0,Y,47,1.5,1065,8972.0,33.0,126500
85,68.0,8530,Lvl,Gilbert,Norm,Norm,SLvl,7,5,1996,Gd,Unf,0.0,0.0,384.0,384.0,Y,0,1474,TA,7,BuiltIn,Fin,2.0,Y,14,2.5,1474,8598.0,14.0,168500
86,121.0,16059,Lvl,NoRidge,Norm,Norm,2Story,8,5,1992,Gd,Unf,0.0,0.0,1288.0,1288.0,Y,0,2417,Gd,9,Attchd,Unf,2.0,Y,15,2.5,2417,16180.0,15.0,260000
87,122.0,11911,Lvl,Gilbert,Norm,Norm,2Story,6,5,2005,Gd,Unf,0.0,0.0,684.0,684.0,Y,0,1560,Gd,6,BuiltIn,Fin,2.0,Y,4,2.5,1560,12033.0,4.0,174000
88,40.0,3951,Lvl,Somerst,Norm,Norm,2Story,6,5,2009,Gd,Unf,0.0,0.0,612.0,612.0,Y,0,1224,Gd,4,Detchd,RFn,2.0,Y,0,2.5,1224,3991.0,0.0,164500
89,105.0,8470,Lvl,IDOTRR,Feedr,Feedr,1.5Fin,3,2,1982,TA,Unf,0.0,0.0,1013.0,1013.0,N,513,1526,Fa,6,Attchd,Unf,0.0,N,94,1.0,1013,8575.0,30.0,85000
90,60.0,8070,Lvl,CollgCr,Norm,Norm,1Story,4,5,1995,Gd,GLQ,588.0,0.0,402.0,990.0,Y,0,990,TA,5,Attchd,Unf,0.0,Y,13,2.0,990,8130.0,28.0,123600
91,60.0,7200,Lvl,NAmes,Norm,Norm,1Story,4,5,1950,TA,Unf,0.0,0.0,0.0,0.0,Y,0,1040,TA,4,Detchd,Unf,2.0,Y,56,1.0,1040,7260.0,56.0,109900
92,85.0,8500,Lvl,NAmes,Norm,Norm,1Story,5,3,1961,TA,Rec,600.0,0.0,635.0,1235.0,Y,0,1235,TA,6,Attchd,Unf,2.0,Y,45,1.0,1235,8585.0,45.0,98600
93,80.0,13360,HLS,Crawfor,Norm,Norm,1Story,5,7,2006,Gd,ALQ,713.0,0.0,163.0,876.0,Y,0,964,TA,5,Detchd,Unf,2.0,Y,88,2.0,964,13440.0,88.0,163500
94,60.0,7200,Lvl,OldTown,Norm,Norm,2.5Unf,6,6,1998,TA,Rec,1046.0,0.0,168.0,1214.0,N,0,2291,TA,9,Detchd,Unf,2.0,Y,97,2.5,2291,7260.0,107.0,133900
95,69.0,9337,Lvl,CollgCr,Norm,Norm,2Story,6,5,1997,Gd,GLQ,648.0,0.0,176.0,824.0,Y,0,1786,Gd,7,Attchd,RFn,2.0,Y,10,3.5,1786,9406.0,10.0,204750
96,68.0,9765,Lvl,Gilbert,Norm,Norm,2Story,6,8,1993,Gd,ALQ,310.0,0.0,370.0,680.0,Y,0,1470,TA,6,BuiltIn,Fin,2.0,Y,16,2.5,1470,9833.0,16.0,185000
97,78.0,10264,Lvl,CollgCr,Norm,Norm,1Story,7,5,1999,Gd,ALQ,1162.0,0.0,426.0,1588.0,Y,0,1588,Gd,6,Attchd,RFn,2.0,Y,7,2.0,1588,10342.0,7.0,214000
98,73.0,10921,HLS,Edwards,Norm,Norm,1Story,4,5,1965,TA,Rec,520.0,0.0,440.0,960.0,Y,0,960,TA,6,Attchd,Fin,1.0,P,42,2.0,960,10994.0,42.0,94750
99,85.0,10625,Lvl,Edwards,Norm,Norm,1Story,5,5,1950,TA,ALQ,108.0,0.0,350.0,458.0,N,0,835,TA,5,Basment,Unf,1.0,Y,90,1.0,835,10710.0,90.0,83000
100,77.0,9320,Lvl,NAmes,Norm,Norm,1Story,4,5,1959,TA,ALQ,569.0,0.0,381.0,950.0,Y,0,1225,TA,6,Attchd,Unf,0.0,Y,51,2.5,1225,9397.0,31.0,128950
101,68.0,10603,Lvl,NWAmes,Norm,Norm,1Story,6,7,2001,TA,ALQ,1200.0,0.0,410.0,1610.0,Y,0,1610,Gd,6,Attchd,RFn,2.0,Y,33,3.0,1610,10671.0,33.0,205000
102,77.0,9206,Lvl,SawyerW,Norm,Norm,2Story,6,5,1985,Gd,Unf,0.0,0.0,741.0,741.0,Y,0,1732,Gd,7,Attchd,Fin,2.0,Y,25,2.5,1732,9283.0,25.0,178000
103,64.0,7018,Bnk,SawyerW,Norm,Norm,1Story,5,5,1979,TA,Unf,0.0,0.0,0.0,0.0,Y,0,1535,TA,8,Attchd,Unf,2.0,Y,30,2.0,1535,7082.0,30.0,118964
104,94.0,10402,Lvl,CollgCr,Norm,Norm,1Story,7,5,2009,Gd,Unf,0.0,0.0,1226.0,1226.0,Y,0,1226,Gd,6,Attchd,RFn,3.0,Y,1,2.0,1226,10496.0,1.0,198900
105,68.0,7758,Lvl,IDOTRR,Norm,Norm,1.5Fin,7,4,1950,TA,LwQ,224.0,0.0,816.0,1040.0,Y,0,1818,TA,7,Detchd,Unf,1.0,Y,76,1.5,1818,7826.0,56.0,169500
106,75.0,9375,Lvl,Somerst,Norm,Norm,2Story,8,5,2004,Ex,Unf,0.0,0.0,1053.0,1053.0,Y,0,1992,Gd,9,Attchd,RFn,2.0,Y,5,2.5,1992,9450.0,5.0,250000
107,60.0,10800,Lvl,OldTown,Norm,Norm,1Story,4,7,1995,Fa,Unf,0.0,0.0,641.0,641.0,Y,0,1047,TA,6,Detchd,Unf,1.0,N,122,1.0,1047,10860.0,53.0,100000
108,50.0,6000,Lvl,OldTown,Norm,Norm,1Story,5,5,1950,TA,ALQ,104.0,169.0,516.0,789.0,Y,0,789,TA,5,Detchd,Unf,1.0,Y,60,1.0,789,6050.0,60.0,115000
109,85.0,8500,Lvl,IDOTRR,Artery,Norm,1.5Fin,5,7,2005,TA,Unf,0.0,0.0,793.0,793.0,N,0,1517,Fa,7,Attchd,Unf,0.0,N,88,2.0,1517,8585.0,28.0,115000
110,105.0,11751,Lvl,NWAmes,Norm,Norm,1Story,6,6,1977,Gd,BLQ,705.0,0.0,1139.0,1844.0,Y,0,1844,TA,7,Attchd,RFn,2.0,Y,33,2.0,1844,11856.0,33.0,190000
111,75.0,9525,Lvl,Edwards,Norm,Norm,1.5Fin,6,4,1972,TA,Rec,444.0,0.0,550.0,994.0,Y,0,1855,TA,7,Attchd,Unf,1.0,Y,52,2.0,1855,9600.0,52.0,136900
112,68.0,7750,Lvl,Gilbert,Norm,Norm,SLvl,7,5,2000,Gd,GLQ,250.0,0.0,134.0,384.0,Y,0,1430,TA,7,BuiltIn,Fin,2.0,Y,10,2.5,1430,7818.0,10.0,180000
113,77.0,9965,Lvl,CollgCr,Norm,Norm,2Story,7,5,2007,Ex,GLQ,984.0,0.0,280.0,1264.0,Y,0,2696,Ex,10,BuiltIn,Fin,3.0,Y,0,3.5,2696,10042.0,0.0,383970
114,68.0,21000,Bnk,Crawfor,Norm,Norm,1Story,6,5,1953,Gd,ALQ,35.0,869.0,905.0,1809.0,Y,0,2259,Gd,7,Basment,Unf,2.0,Y,54,3.0,2259,21068.0,54.0,217000
115,61.0,7259,Lvl,Crawfor,Norm,Norm,2Story,6,8,2002,TA,ALQ,774.0,150.0,104.0,1028.0,Y,0,2320,Gd,9,Detchd,Unf,1.0,Y,62,3.5,2320,7320.0,62.0,259500
116,34.0,3230,Lvl,Somerst,Norm,Norm,2Story,6,5,1999,Gd,GLQ,419.0,0.0,310.0,729.0,Y,0,1458,TA,5,Detchd,Unf,2.0,Y,8,2.5,1458,3264.0,8.0,176000
117,68.0,11616,Lvl,Sawyer,Norm,Norm,1Story,5,5,1962,TA,LwQ,170.0,670.0,252.0,1092.0,Y,0,1092,TA,6,Attchd,Unf,1.0,Y,47,1.5,1092,11684.0,47.0,139000
118,74.0,8536,Lvl,Edwards,Norm,Norm,1Story,5,5,2007,Gd,Unf,0.0,0.0,1125.0,1125.0,Y,0,1125,TA,5,Attchd,Unf,2.0,Y,1,1.5,1125,8610.0,0.0,155000
